0000                                    	1-GENERAL                               	PRUEBA                                  	                                        	                                        	           0,01	           0,00
794278261163                            	22-T-SHIRT / TOPS                       	THIRT SM NGRABEIGE                      	                                        	                                        	          60,34	          32,14	DP1T8259
794278261170                            	22-T-SHIRT / TOPS                       	THIRT SM NGRABEIGE                      	                                        	                                        	          60,34	          32,14	DP1T8259
794278261255                            	22-T-SHIRT / TOPS                       	THIRT SM NGRABEIGE                      	                                        	                                        	          60,34	          32,14	DP1T8259
794278261330                            	22-T-SHIRT / TOPS                       	THIRT SM NGRABEIGE                      	                                        	                                        	          60,34	          32,14	DP1T8259
794278342152                            	19-ZAPATOS                              	DEPORTIVOS CASUAL GUNMETAL              	                                        	                                        	         172,41	           0,00	K3152616
794278342176                            	19-ZAPATOS                              	DEPORTIVOS CASUAL GUNMETAL              	                                        	                                        	         172,41	           0,00	K3152616
794278342183                            	19-ZAPATOS                              	DEPORTIVOS CASUAL GUNMETAL              	                                        	                                        	         172,41	           0,00	K3152616
794278345160                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY BEIGE                       	                                        	                                        	          56,03	          28,57	DP1T5892
794278345177                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY BEIGE                       	                                        	                                        	          56,03	          28,57	DP1T5892
794278349762                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AMARILLO                    	                                        	                                        	          56,03	           0,00	DP1T8223
794278349779                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AMARILLO                    	                                        	                                        	          56,03	          17,24	DP1T8409
794278349786                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AMARILLO                    	                                        	                                        	          56,03	           0,00	DP1T8223
794278352342                            	21-CAMISAS / BLUSAS                     	PULLOVER                                	                                        	                                        	           4,31	          19,40	DP1T8262
794278352359                            	21-CAMISAS / BLUSAS                     	PULLOVER                                	                                        	                                        	          60,34	          19,40	DP1T8262
794278352366                            	21-CAMISAS / BLUSAS                     	PULLOVER                                	                                        	                                        	          60,34	          19,40	DP1T8262
794278352373                            	21-CAMISAS / BLUSAS                     	PULLOVER                                	                                        	                                        	          60,34	          19,40	DP1T8262
794278352496                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS NEGRO ARRU                      	                                        	                                        	          73,28	           0,00	DP1P2739
794278352502                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS NEGRO ARRU                      	                                        	                                        	          73,28	           0,00	DP1P2739
794278352519                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS NEGRO ARRU                      	                                        	                                        	          73,28	           0,00	DP1P2739
794278352526                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS NEGRO ARRU                      	                                        	                                        	          73,28	           0,00	DP1P2739
794278354063                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS DKNY AMARILLO                   	                                        	                                        	          73,28	          39,29	DP1P2735
794278354537                            	22-T-SHIRT / TOPS                       	TOP ALGO GRIS                           	                                        	                                        	           4,31	          32,14	DPT8262
794278354544                            	22-T-SHIRT / TOPS                       	TOP ALGO GRIS                           	                                        	                                        	          60,34	          32,14	DPT8262
794278354551                            	22-T-SHIRT / TOPS                       	TOP ALGO GRIS                           	                                        	                                        	          60,34	          32,14	DPT8262
794278354568                            	22-T-SHIRT / TOPS                       	TOP ALGO GRIS                           	                                        	                                        	          60,34	          32,14	DPT8262
794278356630                            	22-T-SHIRT / TOPS                       	TSHIRT NARANJA NEON                     	                                        	                                        	          60,34	          32,14	DP1T8408
794278356647                            	22-T-SHIRT / TOPS                       	TSHIRT NARANJA NEON                     	                                        	                                        	           4,31	          32,14	DP1T8408
794278356654                            	22-T-SHIRT / TOPS                       	TSHIRT NARANJA NEON                     	                                        	                                        	          60,34	          32,14	DP1T8408
794278356661                            	22-T-SHIRT / TOPS                       	TSHIRT NARANJA NEON                     	                                        	                                        	          60,34	          32,14	DP1T8408
794278356685                            	22-T-SHIRT / TOPS                       	TSHIRT AZUL ELEC                        	                                        	                                        	           4,31	          32,14	DP1T8408
794278356692                            	22-T-SHIRT / TOPS                       	TSHIRT AZUL ELEC                        	                                        	                                        	           4,31	          32,14	DP1T8408
794278356708                            	22-T-SHIRT / TOPS                       	TSHIRT AZUL ELEC                        	                                        	                                        	          60,34	          32,14	DP1T8408
794278356715                            	22-T-SHIRT / TOPS                       	TSHIRT AZUL ELEC                        	                                        	                                        	          60,34	          32,14	DP1T8408
794278356739                            	22-T-SHIRT / TOPS                       	TSHIRT NEGRA RYA NRNJ                   	                                        	                                        	          60,34	          32,14	DP1T8408
794278356746                            	22-T-SHIRT / TOPS                       	TSHIRT NEGRA RYA NRNJ                   	                                        	                                        	          60,34	          32,14	DP1T8408
794278356753                            	22-T-SHIRT / TOPS                       	TSHIRT NEGRA RYA NRNJ                   	                                        	                                        	          60,34	          32,14	DP1T8408
794278356760                            	22-T-SHIRT / TOPS                       	TSHIRT NEGRA RYA NRNJ                   	                                        	                                        	          60,34	          32,14	DP1T8408
794278356876                            	22-T-SHIRT / TOPS                       	THIRT SM NGRA MOR                       	                                        	                                        	          60,34	          32,14	DP1T8259
794278357040                            	25-LEGGINS / BIKER / SHORTS             	SHORT BIKER BLACK MORA                  	                                        	                                        	          73,28	          39,29	DP1S4896
794278357057                            	25-LEGGINS / BIKER / SHORTS             	SHORT BIKER BLACK MORA                  	                                        	                                        	           4,31	          39,29	DP1S4896
794278357064                            	25-LEGGINS / BIKER / SHORTS             	SHORT BIKER BLACK MORA                  	                                        	                                        	          73,28	          39,29	DP1S4896
794278357071                            	25-LEGGINS / BIKER / SHORTS             	SHORT BIKER BLACK MORA                  	                                        	                                        	           4,31	          39,29	DP1S4896
794278359112                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS DKNY AMARILLO                   	                                        	                                        	          73,28	          39,29	DP1P2735
794278359129                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS DKNY AMARILLO                   	                                        	                                        	          73,28	          39,29	DP1P2735
794278359143                            	22-T-SHIRT / TOPS                       	THIRT SM NGRA MOR                       	                                        	                                        	          60,34	          32,14	DP1T8259
794278359150                            	22-T-SHIRT / TOPS                       	THIRT SM NGRA MOR                       	                                        	                                        	          60,34	          32,14	DP1T8259
794278359167                            	22-T-SHIRT / TOPS                       	THIRT SM NGRA MOR                       	                                        	                                        	          60,34	          32,14	DP1T8259
794278359372                            	22-T-SHIRT / TOPS                       	TSHIRT VERDE BOTELLA                    	                                        	                                        	          56,03	          28,57	DP1T5894
794278359389                            	22-T-SHIRT / TOPS                       	TSHIRT VERDE BOTELLA                    	                                        	                                        	          56,03	          28,57	DP1T5894
794278359396                            	22-T-SHIRT / TOPS                       	TSHIRT VERDE BOTELLA                    	                                        	                                        	          56,03	          28,57	DP1T5894
794278359402                            	22-T-SHIRT / TOPS                       	TSHIRT VERDE BOTELLA                    	                                        	                                        	          56,03	          28,57	DP1T5894
794278360408                            	22-T-SHIRT / TOPS                       	TSHIRT ELECT DKNY                       	                                        	                                        	          56,03	           0,00	DP1T6749
794278360415                            	22-T-SHIRT / TOPS                       	TSHIRT ELECT DKNY                       	                                        	                                        	           4,31	           0,00	DP1T6749
794278360422                            	22-T-SHIRT / TOPS                       	TSHIRT ELECT DKNY                       	                                        	                                        	           4,31	           0,00	DP1T6749
794278360439                            	22-T-SHIRT / TOPS                       	TSHIRT ELECT DKNY                       	                                        	                                        	           4,31	           0,00	DP1T6749
794278360507                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AZUL M                      	                                        	                                        	          56,03	          28,57	DP1T5894
794278360514                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AZUL M                      	                                        	                                        	          56,03	          28,57	DP1T5894
794278360521                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AZUL M                      	                                        	                                        	          56,03	          28,57	DP1T5894
794278360538                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AZUL M                      	                                        	                                        	          56,03	          28,57	DP1T5894
794278361061                            	24-VESTIDOS                             	VESTIDO DEPORTIVO DKNY                  	                                        	                                        	          99,14	          53,57	DP1D4481
794278361078                            	24-VESTIDOS                             	VESTIDO DEPORTIVO DKNY                  	                                        	                                        	          99,14	          53,57	DP1D4481
794278361085                            	24-VESTIDOS                             	VESTIDO DEPORTIVO DKNY                  	                                        	                                        	          99,14	          53,57	DP1D4481
794278361092                            	24-VESTIDOS                             	VESTIDO DEPORTIVO DKNY                  	                                        	                                        	          99,14	          53,57	DP1D4481
794278362242                            	22-T-SHIRT / TOPS                       	CROP ML  ALIGRADO NEGRO                 	                                        	                                        	          64,66	          35,71	DP1T8252
794278362259                            	22-T-SHIRT / TOPS                       	CROP ML  ALIGRADO NEGRO                 	                                        	                                        	          64,66	          35,71	DP1T8252
794278362266                            	22-T-SHIRT / TOPS                       	CROP ML  ALIGRADO NEGRO                 	                                        	                                        	          64,66	          35,71	DP1T8252
794278362273                            	22-T-SHIRT / TOPS                       	CROP ML  ALIGRADO NEGRO                 	                                        	                                        	          64,66	          35,71	DP1T8252
794278362396                            	22-T-SHIRT / TOPS                       	TOP MUSGO                               	                                        	                                        	           4,31	           0,00	DP1T7994
794278362402                            	22-T-SHIRT / TOPS                       	TOP MUSGO                               	                                        	                                        	          60,34	           0,00	DP1T7994
794278362419                            	22-T-SHIRT / TOPS                       	TOP MUSGO                               	                                        	                                        	          60,34	           0,00	DP1T7994
794278362426                            	22-T-SHIRT / TOPS                       	TOP MUSGO                               	                                        	                                        	          60,34	           0,00	DP1T7994
794278362440                            	22-T-SHIRT / TOPS                       	TOP BLAN NEGR                           	                                        	                                        	          60,34	          32,14	DP1T7994
794278362457                            	22-T-SHIRT / TOPS                       	TOP BLAN NEGR                           	                                        	                                        	          60,34	          32,14	DP1T7994
794278362464                            	22-T-SHIRT / TOPS                       	TOP BLAN NEGR                           	                                        	                                        	          60,34	          32,14	DP1T7994
794278362471                            	22-T-SHIRT / TOPS                       	TOP BLAN NEGR                           	                                        	                                        	           4,31	          32,14	DP1T7994
794278362495                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY FUCSIA                      	                                        	                                        	          56,03	           0,00	DP1T8223
794278362501                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY FUCSIA                      	                                        	                                        	          56,03	           0,00	DP1T8223
794278362518                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY FUCSIA                      	                                        	                                        	          56,03	           0,00	DP1T8223
794278362525                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY FUCSIA                      	                                        	                                        	          56,03	           0,00	DP1T8223
794278362778                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS DKNY AMARILLO                   	                                        	                                        	          73,28	          39,29	DP1P2735
794278363294                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AMARILLO                    	                                        	                                        	          56,03	           0,00	DP1T8223
794278363300                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AMARILLO T/M                	                                        	                                        	          56,03	          17,24	DP1T8223
794278363317                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AMARILLO                    	                                        	                                        	          56,03	           0,00	DP1T8223
794278363324                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AMARILLO T/XS               	                                        	                                        	           4,31	          17,24	DP1T8223
794278363799                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS ANIMAL PRINT                    	                                        	                                        	          86,21	          46,43	DP1P2753
794278363805                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS ANIMAL PRINT                    	                                        	                                        	          86,21	          46,43	DP1P2753
794278363812                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS ANIMAL PRINT                    	                                        	                                        	          86,21	          46,43	DP1P2753
794278363829                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS ANIMAL PRINT                    	                                        	                                        	          86,21	          46,43	DP1P2753
794278363843                            	22-T-SHIRT / TOPS                       	TOP ANIMALS PRINT NEGR                  	                                        	                                        	           4,31	          42,86	DP1T8298
794278363850                            	22-T-SHIRT / TOPS                       	TOP ANIMALS PRINT NEGR                  	                                        	                                        	          77,59	          42,86	DP1T8298
794278363867                            	22-T-SHIRT / TOPS                       	TOP ANIMALS PRINT NEGR                  	                                        	                                        	           4,31	          42,86	DP1T8298
794278363874                            	22-T-SHIRT / TOPS                       	TOP ANIMALS PRINT NEGR                  	                                        	                                        	          77,59	          42,86	DP1T8298
794278363997                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS CUERO CAMEL                     	                                        	                                        	          86,21	          46,43	DP1P2096
794278364000                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS CUERO CAMEL                     	                                        	                                        	          86,21	          46,43	DP1P2096
794278364017                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS CUERO CAMEL                     	                                        	                                        	          86,21	          46,43	DP1P2096
794278364024                            	25-LEGGINS / BIKER / SHORTS             	LEGGIN CUERO                            	                                        	                                        	          86,21	           0,00	DP1P2096
794278364147                            	22-T-SHIRT / TOPS                       	TOP CUERO CAMEL                         	                                        	                                        	          77,59	          42,86	DP1T7889
794278364154                            	22-T-SHIRT / TOPS                       	TOP CUERO CAMEL                         	                                        	                                        	          77,59	          42,86	DP1T7889
794278364161                            	22-T-SHIRT / TOPS                       	TOP CUERO CAMEL                         	                                        	                                        	          77,59	          42,86	DP1T7889
794278364178                            	22-T-SHIRT / TOPS                       	TOP CUERO CAMEL                         	                                        	                                        	          77,59	          42,86	DP1T7889
794278365243                            	22-T-SHIRT / TOPS                       	TOP AZUL NARANJA                        	                                        	                                        	          60,34	           0,00	DP1T8299
794278365250                            	22-T-SHIRT / TOPS                       	TOP AZUL NARANJA                        	                                        	                                        	           4,31	           0,00	DP1T8299
794278365267                            	22-T-SHIRT / TOPS                       	TOP AZUL NARANJA                        	                                        	                                        	          60,34	           0,00	DP1T8299
794278365274                            	22-T-SHIRT / TOPS                       	TOP AZUL NARANJA                        	                                        	                                        	           4,31	           0,00	DP1T8299
794278365342                            	22-T-SHIRT / TOPS                       	TSHIRT NARANJA DKNY                     	                                        	                                        	          56,03	          28,57	DP1T5892
794278365359                            	22-T-SHIRT / TOPS                       	TSHIRT NARANJA DKNY                     	                                        	                                        	          56,03	          28,57	DP1T5892
794278365366                            	22-T-SHIRT / TOPS                       	TSHIRT NARANJA DKNY                     	                                        	                                        	          56,03	          28,57	DP1T5892
794278365373                            	22-T-SHIRT / TOPS                       	TSHIRT NARANJA DKNY                     	                                        	                                        	          56,03	          28,57	DP1T5892
794278365397                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AZL ELEC                    	                                        	                                        	          56,03	          28,57	DP1T5892
794278365403                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AZL ELEC                    	                                        	                                        	          56,03	          28,57	DP1T5892
794278365410                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AZL ELEC                    	                                        	                                        	          56,03	          28,57	DP1T5892
794278365427                            	22-T-SHIRT / TOPS                       	TSHIRT DKNY AZL ELEC                    	                                        	                                        	          56,03	          28,57	DP1T5892
794278365809                            	22-T-SHIRT / TOPS                       	TOP CUERO NEGRO                         	                                        	                                        	          77,59	          42,86	DP1T7889
794278365823                            	22-T-SHIRT / TOPS                       	TOP CUERO NEGRO                         	                                        	                                        	          77,59	          42,86	DP1T7889
794278365830                            	22-T-SHIRT / TOPS                       	TOP CUERO NEGRO                         	                                        	                                        	           4,31	          42,86	DP1T7889
794278367124                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS NARA AZUL                       	                                        	                                        	          73,28	          39,29	DP1P2754
794278367131                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS NARA AZUL                       	                                        	                                        	          73,28	          39,29	DP1P2754
794278367148                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS NARA AZUL                       	                                        	                                        	          73,28	          39,29	DP1P2754
794278367155                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS NARA AZUL                       	                                        	                                        	           4,31	          39,29	DP1P2754
794278510681                            	19-ZAPATOS                              	BOTINES GAMUSA BEIGE T/8                	                                        	                                        	         232,76	          77,58	K2151365
794278510735                            	19-ZAPATOS                              	BOTINES GAMUSA BEIGE T/10               	                                        	                                        	         232,76	          77,58	K2151365
794278511817                            	19-ZAPATOS                              	BOTINES GAMUSA BEIGE T/9                	                                        	                                        	         232,76	          77,58	K2151365
794278511855                            	19-ZAPATOS                              	BOTINES GAMUSA BEIGE T/6                	                                        	                                        	         232,76	          77,58	K2151365
794278532157                            	19-ZAPATOS                              	TARJETERO NEGRO SINTETICO               	                                        	                                        	          64,66	          23,71	R12ZBC09
794278532164                            	19-ZAPATOS                              	TARJETERO VINOTINTO SINTETICO           	                                        	                                        	          73,28	          23,71	R12ZBC09
794278532294                            	19-ZAPATOS                              	DKNY COHALA                             	                                        	                                        	         193,97	          64,66	R211GO50
794278541609                            	20-CARTERAS                             	BOLSO GRANDE                            	                                        	                                        	         224,14	          65,00
794278543351                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS SEA GREEN                       	                                        	                                        	          73,28	           0,00	DP1P2335
794278543368                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS SEA GREEN                       	                                        	                                        	          73,28	           0,00	DP1P2335
794278543375                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS SEA GREEN                       	                                        	                                        	          73,28	           0,00	DP1P2335
794278543382                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS SEA GREEN                       	                                        	                                        	          73,28	           0,00	DP1P2335
794278543405                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PBU                             	                                        	                                        	          73,28	           0,00	DP1P2335
794278543412                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PBU                             	                                        	                                        	          73,28	           0,00	DP1P2335
794278543429                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PBU                             	                                        	                                        	          73,28	           0,00	DP1P2335
794278543436                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PBU                             	                                        	                                        	          73,28	           0,00	DP1P2335
794278544068                            	22-T-SHIRT / TOPS                       	T-SHIRT ROSA LOGO LINEA T/L             	                                        	                                        	          60,34	          19,40	DP1T6749
794278544075                            	22-T-SHIRT / TOPS                       	T-SHIRT ROSA LOGO LINEA T/M             	                                        	                                        	          60,34	          19,40	DP1T6749
794278544297                            	22-T-SHIRT / TOPS                       	T-SHIRT ROSA LOGO LINEA T/S             	                                        	                                        	          60,34	          19,40	DP1T6749
794278544303                            	22-T-SHIRT / TOPS                       	T-SHIRT ROSA LOGO LINEA T/XS            	                                        	                                        	          60,34	          19,40	DP1T6749
794278544761                            	22-T-SHIRT / TOPS                       	TSHIRT GRIS DKNY                        	                                        	                                        	          56,03	          28,57	DP1T6749
794278544778                            	22-T-SHIRT / TOPS                       	TSHIRT GRIS DKNY                        	                                        	                                        	          56,03	          28,57	DP1T6749
794278544785                            	22-T-SHIRT / TOPS                       	TSHIRT GRIS DKNY                        	                                        	                                        	          56,03	          28,57	DP1T6749
794278544792                            	22-T-SHIRT / TOPS                       	TSHIRT GRIS DKNY                        	                                        	                                        	          56,03	          28,57	DP1T6749
794278545232                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS RAYAS CORAL                     	                                        	                                        	          73,28	          31,61	DP1P2677
794278545249                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS RAYAS CORAL                     	                                        	                                        	          73,28	          31,61	DP1P2677
794278545256                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS RAYAS CORAL                     	                                        	                                        	          73,28	          31,61	DP1P2677
794278545263                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS RAYAS CORAL                     	                                        	                                        	          73,28	          31,61	DP1P2677
794278546598                            	22-T-SHIRT / TOPS                       	FRANELA BLANCA SIN MANGA T/L            	                                        	                                        	          60,34	          19,40	DP1T8358
794278546604                            	22-T-SHIRT / TOPS                       	FRANELA BLANCA SIN MANGA T/M            	                                        	                                        	          60,34	          19,40	DP1T8358
794278546611                            	22-T-SHIRT / TOPS                       	FRANELA BLANCA SIN MANGA T/S            	                                        	                                        	          60,34	          19,40	DP1T8358
794278546628                            	22-T-SHIRT / TOPS                       	FRANELA BLANCA SIN MANGA T/XS           	                                        	                                        	          60,34	          19,40	DP1T8358
794278546642                            	22-T-SHIRT / TOPS                       	FRANELA SIN MANGA NEGRA UNICOLOR T/L    	                                        	                                        	          60,34	          19,40	DP1T8358
794278546659                            	22-T-SHIRT / TOPS                       	FRANELA SIN MANGA NEGRA UNICOLOR T/M    	                                        	                                        	          60,34	          19,40	DP1T8358
794278546666                            	22-T-SHIRT / TOPS                       	FRANELA SIN MANGA NEGRA UNICOLOR T/S    	                                        	                                        	          60,34	          19,40	DP1T8358
794278546673                            	22-T-SHIRT / TOPS                       	FRANELA SIN MANGA NEGRA UNICOLOR T/XS   	                                        	                                        	          60,34	          19,40	DP1T8358
794278547120                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PITON FUCSIA                    	                                        	                                        	          73,28	          31,61	DP1P2238
794278547137                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PITON FUCSIA                    	                                        	                                        	          73,28	          31,61	DP1P2238
794278547144                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PITON FUCSIA                    	                                        	                                        	          73,28	          31,61	DP1P2238
794278547151                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PITON FUCSIA                    	                                        	                                        	          73,28	          31,61	DP1P2238
794278547168                            	22-T-SHIRT / TOPS                       	TOP PITON FUCSIA                        	                                        	                                        	          43,10	          20,11	DP1T8170
794278547182                            	22-T-SHIRT / TOPS                       	T SHIRT BLACK BRILLATES                 	                                        	                                        	          56,03	          22,99	DP1T8118
794278547199                            	22-T-SHIRT / TOPS                       	T SHIRT BLACK BRILLATES                 	                                        	                                        	          56,03	          22,99	DP1T8118
794278547205                            	22-T-SHIRT / TOPS                       	T SHIRT BLACK BRILLATES                 	                                        	                                        	          56,03	          22,99	DP1T8118
794278547212                            	20-CARTERAS                             	GROUP 5J                                	                                        	                                        	          56,03	           0,00
794278547656                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS BLACK                           	                                        	                                        	          73,28	          31,61	DP1P2694
794278547663                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS BLACK                           	                                        	                                        	          73,28	          31,61	DP1P2694
794278547670                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS BLACK                           	                                        	                                        	          73,28	          31,61	DP1P2694
794278547687                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS BLACK                           	                                        	                                        	          73,28	          31,61	DP1P2694
794278547700                            	22-T-SHIRT / TOPS                       	TOP PITON                               	                                        	                                        	          43,10	          20,11	DP1T8170
794278547717                            	22-T-SHIRT / TOPS                       	TOP PITON                               	                                        	                                        	          43,10	          20,11	DP1T8170
794278547724                            	22-T-SHIRT / TOPS                       	TOP PITON                               	                                        	                                        	          43,10	          20,11	DP1T8170
794278547731                            	22-T-SHIRT / TOPS                       	TOP PITON                               	                                        	                                        	           0,73	          20,11	DP1T8170
794278547755                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PITON                           	                                        	                                        	          73,28	          31,61	DP320013
794278547762                            	25-LEGGINS / BIKER / SHORTS             	LEGGIN PITON                            	                                        	                                        	          73,28	          31,61	DP1P2238
794278547779                            	25-LEGGINS / BIKER / SHORTS             	LEGGIN PITON                            	                                        	                                        	          73,28	          31,61	DP1P2238
794278547786                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS PITON                           	                                        	                                        	          73,28	          31,61	DP320013
794278547977                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS RAYAS COLORES                   	                                        	                                        	           4,31	          31,61	DP322895
794278547984                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS RAYAS COLORES                   	                                        	                                        	          73,28	          31,61	DP322895
794278547991                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS RAYAS COLORES                   	                                        	                                        	           4,31	          31,61	DP322895
794278548004                            	25-LEGGINS / BIKER / SHORTS             	LEGGINS RAYAS COLORES                   	                                        	                                        	           4,31	          31,61	DP322895
794278549445                            	22-T-SHIRT / TOPS                       	TSHIRT GRIS BRILLANTES                  	                                        	                                        	          56,03	          22,99	DP1T8119
794278549452                            	22-T-SHIRT / TOPS                       	TSHIRT GRIS BRILLANTES                  	                                        	                                        	          56,03	          22,99	DP1T8119
794278549469                            	22-T-SHIRT / TOPS                       	TSHIRT GRIS BRILLANTES                  	                                        	                                        	          56,03	          22,99	DP1T8119
794278549476                            	22-T-SHIRT / TOPS                       	TSHIRT GRIS BRILLANTES                  	                                        	                                        	          56,03	          22,99	DP1T8119
